City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Beloha,MG,-25.1667,45.05,63.59,66,0,5.75,clear sky
240,Port-Gentil,GA,-0.7193,8.7815,75.16,88,20,8.05,few clouds
241,Grafton,US,42.207,-71.6856,81.19,66,75,13.8,broken clouds
242,Port Lincoln,AU,-34.7333,135.8667,55.38,89,27,11.21,light rain
243,Cockburn Town,TC,21.4612,-71.1419,80.35,74,7,16.06,clear sky
244,Cabedelo,BR,-6.9811,-34.8339,83.07,84,79,15.64,broken clouds
245,Komsomolskiy,UZ,40.4272,71.7189,72.32,46,75,11.5,broken clouds
246,Bilibino,RU,68.0546,166.4372,37.87,96,100,4.41,light rain
247,Jatai,BR,-17.8814,-51.7144,82.17,32,58,5.73,broken clouds
248,Concordia,AR,-31.393,-58.0209,57.27,94,100,7.0,drizzle
249,Esna,EG,25.2934,32.554,95.02,16,0,15.68,clear sky
250,Mayo,US,38.8876,-76.5119,70.34,91,75,4.61,light rain
251,Natalinsk,RU,56.4739,57.8698,50.77,89,100,5.88,overcast clouds
252,Shimoda,JP,34.6667,138.95,68.94,59,0,18.05,clear sky
253,Monywa,MM,22.1167,95.1333,85.95,59,21,10.76,few clouds
254,Leshukonskoye,RU,64.8989,45.7622,43.92,86,8,6.04,clear sky
255,Coquimbo,CL,-29.9533,-71.3436,58.73,72,20,12.66,few clouds
256,Tarnogskiy Gorodok,RU,60.4997,43.5761,45.75,96,100,4.23,overcast clouds
257,Kathu,TH,7.9178,98.3332,88.75,75,100,17.85,overcast clouds
258,Salym,RU,60.0625,71.4789,57.36,97,95,5.97,light rain
259,Balkhash,KZ,46.844,74.9804,72.99,47,19,18.3,few clouds
260,Belmonte,BR,-15.8631,-38.8828,76.53,72,11,7.81,few clouds
261,Siparia,TT,10.1333,-61.5,84.78,81,58,3.0,broken clouds
262,Goderich,CA,43.7501,-81.7165,57.52,88,92,6.91,overcast clouds
263,Sanandaj,IR,35.3144,46.9923,69.82,23,0,4.61,clear sky
264,Nago,JP,26.5881,127.9761,72.45,93,100,5.73,overcast clouds
265,Morunglav,RO,44.4667,24.1167,74.86,48,2,4.07,clear sky
266,Raudeberg,NO,61.9875,5.1352,48.87,87,13,12.77,few clouds
267,Nanzhang,CN,31.7765,111.8386,67.66,79,100,2.46,overcast clouds
268,Bluefield,US,37.2698,-81.2223,70.3,94,100,9.22,moderate rain
269,Bell Ville,AR,-32.6259,-62.6887,60.67,46,0,5.06,clear sky
270,Hualmay,PE,-11.0964,-77.6139,68.9,68,17,11.14,few clouds
271,Totness,SR,5.8833,-56.3167,81.12,75,61,11.34,broken clouds
